filename,TGT,OTH,prev_phone,next_phone,TGT_item,OTH_item,X_item,speaker_tgt_oth,speaker_x,TGT_first,TGT_first_code,language_stimuli,language_stimuli_code,wav2vec 2.0 (Transformer)_layer8_distance_tgt,wav2vec 2.0 (Transformer)_layer8_distance_oth,wav2vec 2.0 (Transformer)_layer9_distance_tgt,wav2vec 2.0 (Transformer)_layer9_distance_oth,wav2vec 2.0 (Transformer)_layer10_distance_tgt,wav2vec 2.0 (Transformer)_layer10_distance_oth,wav2vec 2.0 (Transformer)_layer11_distance_tgt,wav2vec 2.0 (Transformer)_layer11_distance_oth,wav2vec 2.0 (Transformer)_layer1_distance_tgt,wav2vec 2.0 (Transformer)_layer1_distance_oth,wav2vec 2.0 (Transformer)_layer2_distance_tgt,wav2vec 2.0 (Transformer)_layer2_distance_oth,wav2vec 2.0 (Transformer)_layer3_distance_tgt,wav2vec 2.0 (Transformer)_layer3_distance_oth,wav2vec 2.0 (Transformer)_layer4_distance_tgt,wav2vec 2.0 (Transformer)_layer4_distance_oth,wav2vec 2.0 (Transformer)_layer5_distance_tgt,wav2vec 2.0 (Transformer)_layer5_distance_oth,wav2vec 2.0 (Transformer)_layer6_distance_tgt,wav2vec 2.0 (Transformer)_layer6_distance_oth,wav2vec 2.0 (Transformer)_layer7_distance_tgt,wav2vec 2.0 (Transformer)_layer7_distance_oth,wav2vec 2.0 (Transformer)_layer12_distance_tgt,wav2vec 2.0 (Transformer)_layer12_distance_oth
ES_TRIP21960_0,a:,ɤ:,m,v,ES140,ES79,ES11,ES-participant4,ES-participant2,False,0,ES,6,0.5335558652877808,0.4900301098823547,0.4954967796802521,0.3606061041355133,0.4456920325756073,0.3019578158855438,0.0640077590942382,0.0353225357830524,0.6389554738998413,0.6908639669418335,0.5531274080276489,0.5935146808624268,0.5025983452796936,0.5398072600364685,0.4711112380027771,0.5383719801902771,0.4224770665168762,0.50199294090271,0.407439649105072,0.5078933238983154,0.4657686948776245,0.4983654320240021,0.1455736309289932,0.094809278845787
BR_TRIP60069_1,ũ,ĩ,s,t,BR672,BR849,BR28,BR-participant1,BR-participant2,True,1,BR,2,0.3161359429359436,0.4134750664234161,0.1762880086898803,0.2169585824012756,0.0799922794103622,0.0884217098355293,0.0168871842324733,0.015894616022706,0.4552712440490722,0.4923251569271087,0.3998079895973205,0.4374743700027466,0.3626728951931,0.4096184968948364,0.3483962416648865,0.4162452816963196,0.3285520076751709,0.4115112423896789,0.3043063879013061,0.4129658043384552,0.3067060708999634,0.4224750995635986,0.1040131896734237,0.0395690463483333
TU_TRIP11912_1,ɯ,i,t,s,TU241,TU255,TU129,TU-participant1,TU-participant4,True,1,TU,5,0.4806712865829468,0.5251743793487549,0.2607659101486206,0.3845662474632263,0.0627158731222152,0.1138055473566055,0.015011210925877,0.0345867946743965,0.4314836263656616,0.5271489024162292,0.3677602410316467,0.4775659441947937,0.3306513428688049,0.4296079874038696,0.3440359532833099,0.4521408677101135,0.3662262856960296,0.4403570294380188,0.3686457872390747,0.4480667114257812,0.4087638854980469,0.4837096929550171,0.0278335306793451,0.2700436115264892
FR_TRIP26963_0,œ,o,z,b,FR3364,FR3259,FR182,FR-participant7,FR-participant6,False,0,FR,0,0.4789254069328308,0.5123835802078247,0.3539564907550812,0.2726423740386963,0.2241652160882949,0.1465383470058441,0.0563411228358745,0.0190142970532178,0.499933511018753,0.5786672830581665,0.4396733939647674,0.5211753249168396,0.3963260948657989,0.4909108877182007,0.3857204616069793,0.4914313852787018,0.3826953172683716,0.4913810193538666,0.3744973838329315,0.4856234490871429,0.4140003323554992,0.4857836663722992,0.4365314841270447,0.0655991658568382
EN_TRIP22762_1,ɑ,ʌ,z,f,EN552,EN459,EN1927,EN-participant2,EN-participant7,True,1,EN,1,0.4962755739688873,0.4874718189239502,0.2960915863513946,0.2795463800430298,0.1377621442079544,0.1569744497537613,0.0271672904491424,0.0362254753708839,0.5245419144630432,0.5461080074310303,0.4819681942462921,0.4826725721359253,0.4535716772079468,0.4376787841320038,0.4542744755744934,0.4468207955360412,0.4244461059570312,0.4390559792518616,0.4454492628574371,0.4631830751895904,0.4818765819072723,0.4902159869670868,0.1352969110012054,0.2670934498310089
GR_TRIP61577_1,ʏ,aː,f,s,GR268,GR317,GR621,GR-participant4,GR-participant1,True,1,GR,3,0.3646607398986816,0.6595684289932251,0.1714837998151779,0.5104685425758362,0.1319795697927475,0.3049551248550415,0.0132629983127117,0.048471562564373,0.52753084897995,0.6833075284957886,0.4819468557834625,0.6546439528465271,0.4333004355430603,0.623830258846283,0.4367289841175079,0.6490893363952637,0.4264941811561584,0.6429206132888794,0.3851280510425567,0.6160593628883362,0.3678807020187378,0.6050891280174255,0.0265214182436466,0.1396861374378204
ES_TRIP33498_1,i:,y:,l,s,ES221,ES234,ES293,ES-participant1,ES-participant5,True,1,ES,6,0.464249312877655,0.4235309958457947,0.3299358785152435,0.2710696458816528,0.4310080111026764,0.1152818351984024,0.0937575101852417,0.0457461327314376,0.5176790356636047,0.4673040807247162,0.478232592344284,0.4189246892929077,0.449575126171112,0.382926344871521,0.4358031749725342,0.3821880221366882,0.4322912395000458,0.385681688785553,0.4328503906726837,0.4081574976444244,0.4519122838973999,0.4272246956825256,0.666963517665863,0.399619460105896
BR_TRIP20451_0,i,e,s,p,BR499,BR445,BR329,BR-participant3,BR-participant4,False,0,BR,2,0.6719177961349487,0.5949326157569885,0.4504406750202179,0.4018508195877075,0.2661190330982208,0.2202140986919403,0.0447591245174407,0.0305267386138439,0.7735113501548767,0.7603266835212708,0.7075459361076355,0.683458149433136,0.6687726378440857,0.6249662041664124,0.6780673265457153,0.6262324452400208,0.6564327478408813,0.587631344795227,0.650117039680481,0.5953373908996582,0.6515162587165833,0.5739354491233826,0.1233914867043495,0.0708117559552192
FR_TRIP30446_0,ɔ,u,f,f,FR2910,FR3169,FR2668,FR-participant7,FR-participant1,False,0,FR,0,0.4846648871898651,0.5360870361328125,0.3637502789497375,0.3169780075550079,0.3610111773014068,0.2560184299945831,0.0541372671723365,0.0262519679963588,0.4511019289493561,0.5080229043960571,0.4165354669094085,0.5070250630378723,0.3908653259277344,0.4912842810153961,0.3991849720478058,0.523725152015686,0.3917022347450256,0.5241506695747375,0.4263597428798675,0.5311894416809082,0.4734097719192505,0.5241652131080627,0.18230901658535,0.1932304501533508
GL_TRIP1354_1,aː,a,g,g,GLO50,GLO156,GLO150,S04F,S03M,True,1,GL,4,0.3742802143096924,0.3912782073020935,0.1953870356082916,0.2020566165447235,0.082396350800991,0.0704127848148346,0.0153114674612879,0.0120550142601132,0.4875094890594482,0.5246312618255615,0.4127297401428222,0.4451332688331604,0.3832390606403351,0.428612619638443,0.359405517578125,0.4018487632274627,0.3290151357650757,0.3876962959766388,0.3309046924114227,0.3768619000911712,0.3614987432956695,0.4062065780162811,0.0277349594980478,0.0236609745770692
BR_TRIP25897_1,ẽ,õ,m,d,BR1024,BR890,BR773,BR-participant5,BR-participant1,True,1,BR,2,0.603416383266449,0.6340604424476624,0.4593054056167602,0.4607586562633514,0.4465313255786896,0.3191674053668976,0.1050486639142036,0.0485092997550964,0.571259081363678,0.6147039532661438,0.5286805033683777,0.5979480147361755,0.4872860014438629,0.5759062767028809,0.4922250509262085,0.5913241505622864,0.4578655362129211,0.5711893439292908,0.4561973810195923,0.5226526856422424,0.5344039797782898,0.6067604422569275,0.2940710186958313,0.1479116827249527
TU_TRIP5964_0,ɯ,y,p,t,TU188,TU170,TU24,TU-participant3,TU-participant2,False,0,TU,5,0.39274662733078,0.526879608631134,0.2837934792041778,0.4667659103870392,0.1260558068752288,0.1700745671987533,0.036990750581026,0.0665540248155593,0.5126393437385559,0.6004205346107483,0.4547961354255676,0.5449537038803101,0.4305670261383056,0.4558207988739013,0.4144710302352905,0.4490237236022949,0.410476952791214,0.4616422355175018,0.3985564708709717,0.4615310430526733,0.3923532366752624,0.5237934589385986,0.0766884237527847,0.0957340523600578
GR_TRIP66209_0,yː,øː,l,t,GR379,GR309,GR493,GR-participant4,GR-participant3,False,0,GR,3,0.4747960865497589,0.6142988204956055,0.2062598168849945,0.269959419965744,0.1101428419351577,0.1255929172039032,0.011813691817224,0.0099080307409167,0.6753496527671814,0.7228782773017883,0.64084392786026,0.6971204280853271,0.5972036719322205,0.6573560237884521,0.6031620502471924,0.6660082936286926,0.5711537599563599,0.634563148021698,0.4555756747722626,0.6182170510292053,0.4336448013782501,0.6102409958839417,0.0264540594071149,0.0243214052170515
ES_TRIP26801_1,ɤ:,i:,m,v,ES184,ES185,ES55,ES-participant3,ES-participant2,True,1,ES,6,0.663597583770752,0.610924482345581,0.5229819416999817,0.4105656147003174,0.3419059514999389,0.3815862536430359,0.0714497119188308,0.0613026209175586,0.5428637266159058,0.5876774191856384,0.4720138013362884,0.562836766242981,0.4264430701732635,0.5516696572303772,0.420899897813797,0.5643292665481567,0.3879893124103546,0.5645769834518433,0.3794924914836883,0.5451977849006653,0.5271629095077515,0.5770836472511292,0.2689240574836731,0.2023163139820099
GR_TRIP20981_1,ʏ,ɪ,f,s,GR397,GR404,GR115,GR-participant3,GR-participant6,True,1,GR,3,0.3232881426811218,0.6884137392044067,0.1913266777992248,0.4745765030384063,0.1153281480073928,0.3208247721195221,0.0099409697577357,0.0370100364089012,0.4334484338760376,0.6066656708717346,0.386889100074768,0.5806015729904175,0.3540548682212829,0.5542875528335571,0.3455093204975128,0.5908044576644897,0.3250986635684967,0.6016136407852173,0.2978784739971161,0.6030863523483276,0.3030879497528076,0.6528199911117554,0.03119583055377,0.1182108595967292
EN_TRIP15269_0,ʊ,ʌ,t,s,EN2689,EN2733,EN1681,EN-participant8,EN-participant1,False,0,EN,1,0.3960084617137909,0.5150688886642456,0.2039857357740402,0.3247196972370147,0.0704531371593475,0.0861414596438407,0.0371635258197784,0.0206215269863605,0.5978431105613708,0.5477756857872009,0.5526129603385925,0.4990079998970032,0.5090249180793762,0.464182585477829,0.4916311204433441,0.4712737202644348,0.482398122549057,0.4573763012886047,0.4452023804187774,0.4502179324626922,0.400438904762268,0.4793737232685089,0.2328868061304092,0.3733629584312439
BR_TRIP66574_1,i,ɛ,d,s,BR758,BR748,BR993,BR-participant1,BR-participant5,True,1,BR,2,0.4134943187236786,0.5019410848617554,0.287318617105484,0.3161225318908691,0.2558521926403045,0.1333534270524978,0.0382584072649478,0.0228140000253915,0.456222265958786,0.5328159928321838,0.413217544555664,0.4976993501186371,0.3732042014598846,0.4716716408729553,0.380881130695343,0.4889519214630127,0.371366798877716,0.4690240323543548,0.3491709530353546,0.4534279704093933,0.3900451362133026,0.4797728061676025,0.491696834564209,0.2516537308692932
FR_TRIP18983_0,e,ɛ,z,b,FR1914,FR1812,FR1623,FR-participant3,FR-participant4,False,0,FR,0,0.6247870922088623,0.6527007818222046,0.3261792659759521,0.3315702974796295,0.3157114386558532,0.3698294758796692,0.0552948787808418,0.0589360557496547,0.6882034540176392,0.6684055924415588,0.6340222954750061,0.6354130506515503,0.5942534804344177,0.5851645469665527,0.6126354932785034,0.587710976600647,0.6117470860481262,0.6117109656333923,0.5774224400520325,0.600771963596344,0.5894542932510376,0.6294950246810913,0.3224419057369232,0.6542222499847412
EN_TRIP3200_1,u,ʊ,z,f,EN47,EN207,EN1866,EN-participant6,EN-participant1,True,1,EN,1,0.4598625600337982,0.4477953314781189,0.3747638463973999,0.2654943764209747,0.1880153864622116,0.1825771927833557,0.021513894200325,0.0287926662713289,0.4137710928916931,0.4282514154911041,0.3773917853832245,0.3924098014831543,0.344431459903717,0.3729824423789978,0.3595127463340759,0.3788403570652008,0.372384250164032,0.3906729519367218,0.3780189752578735,0.4073021709918976,0.4303716123104095,0.4543773233890533,0.063945323228836,0.0691625028848648
BR_TRIP58975_0,ĩ,e,s,p,BR647,BR735,BR558,BR-participant1,BR-participant3,False,0,BR,2,0.5385378003120422,0.4586848318576813,0.2982361912727356,0.2724915146827698,0.3224546313285827,0.3180665969848633,0.0855002850294113,0.0624545812606811,0.5517356991767883,0.5185539126396179,0.4950265288352966,0.4554114639759063,0.452526718378067,0.4209771454334259,0.455301433801651,0.4196715056896209,0.4438311457633972,0.4065758287906647,0.4374473392963409,0.3621649742126465,0.5081607699394226,0.3942139148712158,0.3030502200126648,0.3499229848384857
BR_TRIP18676_1,õ,ɔ,k,s,BR514,BR603,BR653,BR-participant3,BR-participant1,True,1,BR,2,0.4485724568367004,0.5596641898155212,0.2808777689933777,0.3714665472507477,0.1224040240049362,0.1081049814820289,0.0273437742143869,0.0268023796379566,0.4976935386657715,0.5656722784042358,0.471907377243042,0.5228220224380493,0.4524150788784027,0.5081399083137512,0.4517450928688049,0.5168079137802124,0.4237881004810333,0.4851276874542236,0.4153895676136017,0.4693216383457184,0.4279381930828094,0.4841150939464569,0.0446901060640811,0.2813232541084289
ES_TRIP9599_0,ø:,æ:,s,t,ES297,ES301,ES189,ES-participant5,ES-participant3,False,0,ES,6,0.4393034279346466,0.5373473763465881,0.1976516544818878,0.3275512158870697,0.1333721727132797,0.16783007979393,0.0541675612330436,0.0464963391423225,0.5265973210334778,0.5606359839439392,0.4769364893436432,0.5251498222351074,0.4387889504432678,0.4930126667022705,0.4376168251037597,0.5017733573913574,0.4074911773204803,0.4861544966697693,0.4035197496414184,0.4792571067810058,0.4329982399940491,0.5183855891227722,0.0844049751758575,0.1226983442902565
FR_TRIP17398_1,ø,ɔ,z,f,FR1834,FR2219,FR3968,FR-participant3,FR-participant5,True,1,FR,0,0.3286146521568298,0.3938779234886169,0.1947101652622223,0.2151305824518203,0.0639689192175865,0.0561905577778816,0.0112415635958313,0.0086005292832851,0.4392401576042175,0.4660661816596985,0.4053469598293304,0.4270476400852203,0.3597534298896789,0.3963882625102997,0.3416690826416015,0.4215650558471679,0.3262843787670135,0.4210869669914245,0.2909058332443237,0.3627893626689911,0.3212895095348358,0.373664915561676,0.1363871395587921,0.101382277905941
GR_TRIP8946_0,aː,yː,f,t,GR202,GR134,GR19,GR-participant2,GR-participant6,False,0,GR,3,0.5283828973770142,0.617804765701294,0.3030184209346771,0.3573768138885498,0.3965853452682495,0.1055603548884391,0.0665045082569122,0.0188455116003751,0.6001096963882446,0.6263132095336914,0.5375975966453552,0.587851881980896,0.5045249462127686,0.5590217113494873,0.4789009392261505,0.5778487920761108,0.427505612373352,0.5764899849891663,0.3832274973392486,0.5753145813941956,0.3983432650566101,0.5758963227272034,0.3503659069538116,0.0659175142645835
BR_TRIP46922_1,ĩ,õ,s,t,BR265,BR275,BR159,BR-participant4,BR-participant2,True,1,BR,2,0.6662629842758179,0.7207821011543274,0.4231791496276855,0.4405097961425781,0.0571371056139469,0.0822545811533927,0.0174589361995458,0.0204119719564914,0.7308700084686279,0.722716748714447,0.6687555313110352,0.6914018392562866,0.6421331763267517,0.68332439661026,0.6564957499504089,0.7056854367256165,0.6657612919807434,0.7185571789741516,0.6567740440368652,0.7328071594238281,0.6838192343711853,0.7143467664718628,0.0943100377917289,0.3882143497467041
GL_TRIP1774_0,e,ɛ,p,p,GLO86,GLO160,GLO2,S02M,S03M,False,0,GL,4,0.3258299827575683,0.4573769569396972,0.1761333346366882,0.2636469900608063,0.0836090296506881,0.0839942172169685,0.0144038246944546,0.0196028221398592,0.434531420469284,0.5542414784431458,0.3669337928295135,0.4652681648731231,0.3359003067016601,0.4453803598880768,0.3193885087966919,0.4314107596874237,0.3099262714385986,0.4308033883571625,0.3119813799858093,0.4438003897666931,0.3144785165786743,0.4423075318336487,0.0431799069046974,0.0662933960556984
BR_TRIP13188_1,ɐ̃,a,t,t,BR539,BR627,BR675,BR-participant3,BR-participant1,True,1,BR,2,0.5487156510353088,0.6436358690261841,0.3187574744224548,0.3956501483917236,0.03402029722929,0.171177789568901,0.0096839601173996,0.0515813045203685,0.5032131671905518,0.5907416343688965,0.4814316034317016,0.5815430879592896,0.4653306901454925,0.572231650352478,0.4774627685546875,0.5908337831497192,0.4685529768466949,0.5836058259010315,0.4571931064128876,0.5611059665679932,0.4890518486499786,0.5894214510917664,0.0256855580955743,0.1318439096212387
TU_TRIP3761_0,y,i,f,z,TU167,TU177,TU257,TU-participant3,TU-participant1,False,0,TU,5,0.4249584674835205,0.4999726116657257,0.2489450573921203,0.3132007718086242,0.1072496175765991,0.1606627404689788,0.0175765119493007,0.0285922065377235,0.5168888568878174,0.5138705968856812,0.4567318856716156,0.4667477309703827,0.4160505533218384,0.4408254325389862,0.4186954200267792,0.4613108336925506,0.4088841676712036,0.4699118137359619,0.3806650638580322,0.465976357460022,0.3827196061611175,0.4790002405643463,0.156277984380722,0.1488792598247528
EN_TRIP6872_1,eɪ,ɛ,z,b,EN1950,EN2085,EN1009,EN-participant7,EN-participant4,True,1,EN,1,0.4462862014770508,0.7269854545593262,0.2349415868520736,0.460815280675888,0.2873494625091553,0.4160737693309784,0.0267628692090511,0.0549400486052036,0.5607251524925232,0.6580874919891357,0.5048635005950928,0.6380868554115295,0.4709155857563019,0.5324804782867432,0.4730069935321808,0.565142810344696,0.4534300863742828,0.5821336507797241,0.4504814147949219,0.6297171711921692,0.4422330558300018,0.6691393256187439,0.1357444375753402,0.3102309703826904
FR_TRIP8045_0,i,e,z,f,FR780,FR868,FR2450,FR-participant2,FR-participant1,False,0,FR,0,0.5533576011657715,0.6826969385147095,0.3486087024211883,0.5069143176078796,0.3302018940448761,0.2780621647834778,0.0682324916124343,0.0828410238027572,0.5139976739883423,0.5696274042129517,0.4711891710758209,0.5132883787155151,0.4543388187885284,0.5052959322929382,0.4506237506866455,0.513052761554718,0.4199858605861664,0.5051138997077942,0.4530825018882751,0.5847777724266052,0.5120968818664551,0.6628561615943909,0.1682859063148498,0.1925736367702484
GR_TRIP51064_1,yː,uː,z,t,GR43,GR14,GR553,GR-participant6,GR-participant1,True,1,GR,3,0.5456014275550842,0.5911511778831482,0.4404964447021484,0.4427204430103302,0.2310434281826019,0.2140381783246994,0.056236159056425,0.0668249651789665,0.4961357116699219,0.5666459798812866,0.4899815618991852,0.5681130290031433,0.4868725836277008,0.5788674354553223,0.5115330815315247,0.6143304705619812,0.5072119832038879,0.6089475154876709,0.5250317454338074,0.6367703080177307,0.5565764307975769,0.6485499739646912,0.124754287302494,0.1828823238611221
ES_TRIP8284_0,y:,ø:,l,s,ES69,ES18,ES126,ES-participant2,ES-participant4,False,0,ES,6,0.488066017627716,0.6715060472488403,0.2956655919551849,0.3820440769195556,0.2098326534032821,0.4402348697185516,0.0258128065615892,0.1062149181962013,0.6011356711387634,0.748538613319397,0.5236557722091675,0.6797583103179932,0.4614033699035644,0.63433438539505,0.4508909881114959,0.634751558303833,0.4370373487472534,0.6176072359085083,0.447106271982193,0.6264334917068481,0.4635895788669586,0.6608471274375916,0.0802403166890144,0.4640949964523315
BR_TRIP16561_1,ẽ,ũ,m,d,BR553,BR520,BR303,BR-participant3,BR-participant4,True,1,BR,2,0.5393975377082825,0.8183034658432007,0.3989213407039642,0.463094562292099,0.2040608525276184,0.2703076601028442,0.0477507151663303,0.0390633903443813,0.6202054023742676,0.6970651745796204,0.5155364871025085,0.6930871605873108,0.4900530576705932,0.705037534236908,0.4980505406856537,0.7594981789588928,0.4828022420406341,0.7722259759902954,0.4789683520793915,0.7770780920982361,0.5154509544372559,0.7969078421592712,0.0868434980511665,0.1527465432882309
