index,#file_source,#file_extract,onset,offset,speaker,language,#phone,prev_phone,next_phone,context,dataset
TU82,participant4_tur3.wav,TU82.wav,15.09,15.32,TU-participant4,TU,y,p,t,p_t,WorldVowels
TU235,participant1_tur1.wav,TU235.wav,11.56,12.01,TU-participant1,TU,y,f,z,f_z,WorldVowels
TU258,participant1_tur5.wav,TU258.wav,13.85,14.34,TU-participant1,TU,y,t,s,t_s,WorldVowels
TU100,participant4_tur2.wav,TU100.wav,7.23,7.57,TU-participant4,TU,u,t,s,t_s,WorldVowels
TU199,participant1_tur6.wav,TU199.wav,3.19,3.56,TU-participant1,TU,ɯ,p,t,p_t,WorldVowels
TU189,participant3_tur4.wav,TU189.wav,0.66883,0.97,TU-participant3,TU,ɯ,d,ʃ,d_ʃ,WorldVowels
TU217,participant1_tur4.wav,TU217.wav,21.7,22.11,TU-participant1,TU,œ,t,s,t_s,WorldVowels
TU132,participant3_tur6.wav,TU132.wav,0.47,0.76,TU-participant3,TU,ɯ,d,ʃ,d_ʃ,WorldVowels
TU237,participant1_tur1.wav,TU237.wav,17.2,17.74,TU-participant1,TU,y,ʃ,t,ʃ_t,WorldVowels
TU226,participant1_tur3.wav,TU226.wav,21.56,22.09,TU-participant1,TU,y,d,ʃ,d_ʃ,WorldVowels
TU128,participant4_tur5.wav,TU128.wav,19.01,19.41,TU-participant4,TU,ɯ,f,z,f_z,WorldVowels
TU11,participant2_tur4.wav,TU11.wav,20.58188,20.97232,TU-participant2,TU,ɯ,ʃ,t,ʃ_t,WorldVowels
TU201,participant1_tur6.wav,TU201.wav,7.9,8.13,TU-participant1,TU,u,g,g,g_g,WorldVowels
TU55,participant2_tur2.wav,TU55.wav,27.59,27.71,TU-participant2,TU,ɯ,p,t,p_t,WorldVowels
TU36,participant2_tur3.wav,TU36.wav,9.48685,9.85722,TU-participant2,TU,œ,p,t,p_t,WorldVowels
TU194,participant3_tur4.wav,TU194.wav,7.82,7.99,TU-participant3,TU,œ,p,t,p_t,WorldVowels
TU239,participant1_tur1.wav,TU239.wav,22.97,23.71,TU-participant1,TU,y,d,ʃ,d_ʃ,WorldVowels
TU167,participant3_tur1.wav,TU167.wav,6.34,6.75,TU-participant3,TU,y,f,z,f_z,WorldVowels
TU227,participant1_tur3.wav,TU227.wav,23.94344,24.42,TU-participant1,TU,ɯ,f,z,f_z,WorldVowels
TU28,participant2_tur1.wav,TU28.wav,27.43,27.77,TU-participant2,TU,u,t,s,t_s,WorldVowels
TU240,participant1_tur1.wav,TU240.wav,26.35,26.79,TU-participant1,TU,ɯ,f,z,f_z,WorldVowels
TU70,participant4_tur6.wav,TU70.wav,9.05532,9.41,TU-participant4,TU,u,ʃ,t,ʃ_t,WorldVowels
TU90,participant4_tur4.wav,TU90.wav,4.84,5.25,TU-participant4,TU,u,f,z,f_z,WorldVowels
TU37,participant2_tur3.wav,TU37.wav,11.2186,11.61,TU-participant2,TU,œ,d,ʃ,d_ʃ,WorldVowels
TU50,participant2_tur2.wav,TU50.wav,18.96,19.26,TU-participant2,TU,y,p,t,p_t,WorldVowels
TU211,participant1_tur4.wav,TU211.wav,5.92,6.51,TU-participant1,TU,u,f,z,f_z,WorldVowels
TU184,participant3_tur5.wav,TU184.wav,12.21583,12.54,TU-participant3,TU,y,d,ʃ,d_ʃ,WorldVowels
TU25,participant2_tur1.wav,TU25.wav,22.34,22.7,TU-participant2,TU,ɯ,d,ʃ,d_ʃ,WorldVowels
TU31,participant2_tur3.wav,TU31.wav,0.65,0.99,TU-participant2,TU,ɯ,d,ʃ,d_ʃ,WorldVowels
TU203,participant1_tur6.wav,TU203.wav,12.89,13.33,TU-participant1,TU,u,t,s,t_s,WorldVowels
TU131,participant4_tur5.wav,TU131.wav,25.03,25.18,TU-participant4,TU,ɯ,p,t,p_t,WorldVowels
TU57,participant2_tur5.wav,TU57.wav,2.57806,2.93,TU-participant2,TU,ɯ,d,ʃ,d_ʃ,WorldVowels
TU205,participant1_tur6.wav,TU205.wav,17.37,17.7,TU-participant1,TU,œ,p,t,p_t,WorldVowels
TU180,participant3_tur5.wav,TU180.wav,6.21,6.58,TU-participant3,TU,y,f,z,f_z,WorldVowels
TU154,participant3_tur3.wav,TU154.wav,7.02,7.32,TU-participant3,TU,y,f,z,f_z,WorldVowels
TU236,participant1_tur1.wav,TU236.wav,14.2,14.87,TU-participant1,TU,y,t,s,t_s,WorldVowels
TU6,participant2_tur4.wav,TU6.wav,11.48057,11.87,TU-participant2,TU,y,ʃ,t,ʃ_t,WorldVowels
TU34,participant2_tur3.wav,TU34.wav,5.88,6.18,TU-participant2,TU,u,t,s,t_s,WorldVowels
TU215,participant1_tur4.wav,TU215.wav,16.28,16.93,TU-participant1,TU,œ,d,ʃ,d_ʃ,WorldVowels
TU52,participant2_tur2.wav,TU52.wav,22.43,22.72,TU-participant2,TU,ɯ,f,z,f_z,WorldVowels
TU114,participant4_tur1.wav,TU114.wav,17.60124,17.93000,TU-participant4,TU,y,d,ʃ,d_ʃ,WorldVowels
TU223,participant1_tur3.wav,TU223.wav,13.99,14.43,TU-participant1,TU,y,t,s,t_s,WorldVowels
TU209,participant1_tur4.wav,TU209.wav,0.93,1.41,TU-participant1,TU,ɯ,d,ʃ,d_ʃ,WorldVowels
TU83,participant4_tur3.wav,TU83.wav,17.12517,17.41000,TU-participant4,TU,y,d,ʃ,d_ʃ,WorldVowels
TU123,participant4_tur5.wav,TU123.wav,8.98942,9.30000,TU-participant4,TU,y,f,z,f_z,WorldVowels
TU53,participant2_tur2.wav,TU53.wav,24.16108,24.45,TU-participant2,TU,ɯ,t,s,t_s,WorldVowels
TU255,participant1_tur5.wav,TU255.wav,6.84,7.28,TU-participant1,TU,i,t,s,t_s,WorldVowels
TU30,participant2_tur1.wav,TU30.wav,30.92,31.23,TU-participant2,TU,œ,p,t,p_t,WorldVowels
TU24,participant2_tur1.wav,TU24.wav,20.64211,20.92188,TU-participant2,TU,ɯ,p,t,p_t,WorldVowels
TU86,participant4_tur3.wav,TU86.wav,22.97552,23.26723,TU-participant4,TU,ɯ,ʃ,t,ʃ_t,WorldVowels
TU104,participant4_tur2.wav,TU104.wav,15.25,15.64,TU-participant4,TU,œ,ʃ,v,ʃ_v,WorldVowels
TU126,participant4_tur5.wav,TU126.wav,15.05,15.24,TU-participant4,TU,y,p,t,p_t,WorldVowels
TU109,participant4_tur1.wav,TU109.wav,7.45943,7.84435,TU-participant4,TU,i,ʃ,t,ʃ_t,WorldVowels
TU160,participant3_tur3.wav,TU160.wav,15.68,16.04,TU-participant3,TU,ɯ,t,s,t_s,WorldVowels
TU218,participant1_tur3.wav,TU218.wav,2.02,2.38219,TU-participant1,TU,i,b,f,b_f,WorldVowels
TU121,participant4_tur5.wav,TU121.wav,5.02486,5.29000,TU-participant4,TU,i,t,s,t_s,WorldVowels
TU219,participant1_tur3.wav,TU219.wav,4.1914,4.6,TU-participant1,TU,i,f,z,f_z,WorldVowels
TU234,participant1_tur1.wav,TU234.wav,8.59,9.13,TU-participant1,TU,i,ʃ,t,ʃ_t,WorldVowels
TU129,participant4_tur5.wav,TU129.wav,21.03,21.37,TU-participant4,TU,ɯ,t,s,t_s,WorldVowels
TU112,participant4_tur1.wav,TU112.wav,13.45916,13.69000,TU-participant4,TU,y,ʃ,t,ʃ_t,WorldVowels
TU178,participant3_tur5.wav,TU178.wav,3.63,3.96,TU-participant3,TU,i,t,s,t_s,WorldVowels
TU93,participant4_tur4.wav,TU93.wav,11.15,11.35,TU-participant4,TU,œ,p,t,p_t,WorldVowels
TU80,participant4_tur3.wav,TU80.wav,11.12,11.41,TU-participant4,TU,y,t,s,t_s,WorldVowels
TU182,participant3_tur5.wav,TU182.wav,8.97618,9.24,TU-participant3,TU,y,ʃ,t,ʃ_t,WorldVowels
TU141,participant3_tur2.wav,TU141.wav,0.80606,1.12,TU-participant3,TU,ɯ,d,ʃ,d_ʃ,WorldVowels
TU140,participant3_tur6.wav,TU140.wav,11.76,12.12,TU-participant3,TU,œ,t,s,t_s,WorldVowels
TU56,participant2_tur5.wav,TU56.wav,0.79,1.1,TU-participant2,TU,ɯ,p,t,p_t,WorldVowels
TU183,participant3_tur5.wav,TU183.wav,10.54,10.81,TU-participant3,TU,y,p,t,p_t,WorldVowels
TU195,participant3_tur4.wav,TU195.wav,9.33497,9.66000,TU-participant3,TU,œ,d,ʃ,d_ʃ,WorldVowels
TU153,participant3_tur3.wav,TU153.wav,5.63657,5.9,TU-participant3,TU,i,ʃ,t,ʃ_t,WorldVowels
TU103,participant4_tur2.wav,TU103.wav,13.26682,13.60000,TU-participant4,TU,œ,d,ʃ,d_ʃ,WorldVowels
TU113,participant4_tur1.wav,TU113.wav,15.48,15.65,TU-participant4,TU,y,p,t,p_t,WorldVowels
TU228,participant1_tur3.wav,TU228.wav,26.18163,26.66658,TU-participant1,TU,ɯ,t,s,t_s,WorldVowels
TU166,participant3_tur1.wav,TU166.wav,4.96417,5.25,TU-participant3,TU,i,ʃ,t,ʃ_t,WorldVowels
TU68,participant4_tur6.wav,TU68.wav,4.83032,5.16,TU-participant4,TU,u,f,z,f_z,WorldVowels
TU187,participant3_tur5.wav,TU187.wav,16.25366,16.59406,TU-participant3,TU,ɯ,ʃ,t,ʃ_t,WorldVowels
TU5,participant2_tur4.wav,TU5.wav,9.73032,10.16000,TU-participant2,TU,y,t,s,t_s,WorldVowels
TU246,participant1_tur2.wav,TU246.wav,7.82385,8.40000,TU-participant1,TU,u,f,z,f_z,WorldVowels
TU193,participant3_tur4.wav,TU193.wav,6.24235,6.55671,TU-participant3,TU,u,ʃ,t,ʃ_t,WorldVowels
TU92,participant4_tur4.wav,TU92.wav,9.10488,9.38335,TU-participant4,TU,u,ʃ,t,ʃ_t,WorldVowels
TU125,participant4_tur5.wav,TU125.wav,13.00314,13.31441,TU-participant4,TU,y,ʃ,t,ʃ_t,WorldVowels
TU172,participant3_tur1.wav,TU172.wav,13.72,14.04,TU-participant3,TU,ɯ,f,z,f_z,WorldVowels
TU72,participant4_tur6.wav,TU72.wav,13.26862,13.62000,TU-participant4,TU,œ,d,ʃ,d_ʃ,WorldVowels
TU208,participant1_tur6.wav,TU208.wav,24.2,24.65,TU-participant1,TU,œ,t,s,t_s,WorldVowels
TU12,participant2_tur1.wav,TU12.wav,0.82,1.17,TU-participant2,TU,i,b,f,b_f,WorldVowels
TU170,participant3_tur1.wav,TU170.wav,10.6,10.85,TU-participant3,TU,y,p,t,p_t,WorldVowels
TU212,participant1_tur4.wav,TU212.wav,8.47,8.98,TU-participant1,TU,u,t,s,t_s,WorldVowels
TU110,participant4_tur1.wav,TU110.wav,9.41,9.82,TU-participant4,TU,y,f,z,f_z,WorldVowels
TU78,participant4_tur3.wav,TU78.wav,7.02,7.37,TU-participant4,TU,i,ʃ,t,ʃ_t,WorldVowels
TU15,participant2_tur1.wav,TU15.wav,5.57162,5.91,TU-participant2,TU,i,ʃ,t,ʃ_t,WorldVowels
TU136,participant3_tur6.wav,TU136.wav,6.2819,6.67217,TU-participant3,TU,u,ʃ,t,ʃ_t,WorldVowels
TU69,participant4_tur6.wav,TU69.wav,6.94,7.28,TU-participant4,TU,u,t,s,t_s,WorldVowels
TU18,participant2_tur1.wav,TU18.wav,10.40238,10.72,TU-participant2,TU,y,ʃ,t,ʃ_t,WorldVowels
TU146,participant3_tur2.wav,TU146.wav,7.91,8.14,TU-participant3,TU,œ,p,t,p_t,WorldVowels
TU94,participant4_tur4.wav,TU94.wav,13.32827,13.68000,TU-participant4,TU,œ,d,ʃ,d_ʃ,WorldVowels
TU168,participant3_tur1.wav,TU168.wav,7.75,8.15,TU-participant3,TU,y,t,s,t_s,WorldVowels
TU165,participant3_tur1.wav,TU165.wav,3.64,3.95,TU-participant3,TU,i,t,s,t_s,WorldVowels
TU241,participant1_tur1.wav,TU241.wav,28.87,29.3,TU-participant1,TU,ɯ,t,s,t_s,WorldVowels
TU233,participant1_tur1.wav,TU233.wav,6.15,6.64,TU-participant1,TU,i,t,s,t_s,WorldVowels
TU192,participant3_tur4.wav,TU192.wav,4.66,5.01,TU-participant3,TU,u,t,s,t_s,WorldVowels
TU81,participant4_tur3.wav,TU81.wav,13.1223,13.3978,TU-participant4,TU,y,ʃ,t,ʃ_t,WorldVowels
TU260,participant1_tur5.wav,TU260.wav,18.96,19.37,TU-participant1,TU,y,p,t,p_t,WorldVowels
TU196,participant3_tur4.wav,TU196.wav,10.8,11.2,TU-participant3,TU,œ,ʃ,v,ʃ_v,WorldVowels
TU206,participant1_tur6.wav,TU206.wav,19.35,19.98,TU-participant1,TU,œ,d,ʃ,d_ʃ,WorldVowels
TU111,participant4_tur1.wav,TU111.wav,11.54,11.84,TU-participant4,TU,y,t,s,t_s,WorldVowels
TU48,participant2_tur2.wav,TU48.wav,15.5075,15.82,TU-participant2,TU,y,t,s,t_s,WorldVowels
TU200,participant1_tur6.wav,TU200.wav,5.39,5.87,TU-participant1,TU,ɯ,d,ʃ,d_ʃ,WorldVowels
TU185,participant3_tur5.wav,TU185.wav,13.6,13.96,TU-participant3,TU,ɯ,f,z,f_z,WorldVowels
TU120,participant4_tur5.wav,TU120.wav,2.82,3.24,TU-participant4,TU,i,f,z,f_z,WorldVowels
TU191,participant3_tur4.wav,TU191.wav,3.19,3.68,TU-participant3,TU,u,f,z,f_z,WorldVowels
TU101,participant4_tur2.wav,TU101.wav,9.23985,9.52134,TU-participant4,TU,u,ʃ,t,ʃ_t,WorldVowels
TU262,participant1_tur5.wav,TU262.wav,23.69,24.11,TU-participant1,TU,ɯ,f,z,f_z,WorldVowels
TU29,participant2_tur1.wav,TU29.wav,29.18454,29.46432,TU-participant2,TU,u,ʃ,t,ʃ_t,WorldVowels
TU3,participant2_tur4.wav,TU3.wav,6.17597,6.55295,TU-participant2,TU,i,ʃ,t,ʃ_t,WorldVowels
TU190,participant3_tur4.wav,TU190.wav,1.94326,2.29160,TU-participant3,TU,u,g,g,g_g,WorldVowels
TU115,participant4_tur1.wav,TU115.wav,19.6,19.98,TU-participant4,TU,ɯ,f,z,f_z,WorldVowels
TU244,participant1_tur2.wav,TU244.wav,3.28,3.75,TU-participant1,TU,ɯ,d,ʃ,d_ʃ,WorldVowels
TU8,participant2_tur4.wav,TU8.wav,15.14,15.51,TU-participant2,TU,y,d,ʃ,d_ʃ,WorldVowels
TU254,participant1_tur5.wav,TU254.wav,4.64,5.03,TU-participant1,TU,i,f,z,f_z,WorldVowels
TU238,participant1_tur1.wav,TU238.wav,20.26908,20.84,TU-participant1,TU,y,p,t,p_t,WorldVowels
TU45,participant2_tur2.wav,TU45.wav,9.61,10.01,TU-participant2,TU,i,t,s,t_s,WorldVowels
TU179,participant3_tur5.wav,TU179.wav,4.84446,5.17312,TU-participant3,TU,i,ʃ,t,ʃ_t,WorldVowels
TU26,participant2_tur1.wav,TU26.wav,24.06,24.33,TU-participant2,TU,u,g,g,g_g,WorldVowels
TU229,participant1_tur3.wav,TU229.wav,28.5,28.95,TU-participant1,TU,ɯ,ʃ,t,ʃ_t,WorldVowels
TU220,participant1_tur3.wav,TU220.wav,6.42,6.84,TU-participant1,TU,i,t,s,t_s,WorldVowels
TU127,participant4_tur5.wav,TU127.wav,17.03,17.41,TU-participant4,TU,y,d,ʃ,d_ʃ,WorldVowels
TU65,participant2_tur5.wav,TU65.wav,17.46,17.9,TU-participant2,TU,œ,t,s,t_s,WorldVowels
TU173,participant3_tur1.wav,TU173.wav,15.0,15.4,TU-participant3,TU,ɯ,t,s,t_s,WorldVowels
TU176,participant3_tur5.wav,TU176.wav,0.90054,1.18,TU-participant3,TU,i,b,f,b_f,WorldVowels
TU117,participant4_tur1.wav,TU117.wav,23.59260,23.94405,TU-participant4,TU,ɯ,ʃ,t,ʃ_t,WorldVowels
TU33,participant2_tur3.wav,TU33.wav,4.04131,4.33,TU-participant2,TU,u,f,z,f_z,WorldVowels
TU59,participant2_tur5.wav,TU59.wav,6.15,6.41,TU-participant2,TU,u,f,z,f_z,WorldVowels
TU49,participant2_tur2.wav,TU49.wav,17.21334,17.54,TU-participant2,TU,y,ʃ,t,ʃ_t,WorldVowels
TU221,participant1_tur3.wav,TU221.wav,8.63,9.2,TU-participant1,TU,i,ʃ,t,ʃ_t,WorldVowels
TU161,participant3_tur3.wav,TU161.wav,16.89,17.25,TU-participant3,TU,ɯ,ʃ,t,ʃ_t,WorldVowels
TU84,participant4_tur3.wav,TU84.wav,19.0,19.38,TU-participant4,TU,ɯ,f,z,f_z,WorldVowels
TU155,participant3_tur3.wav,TU155.wav,8.39,8.72,TU-participant3,TU,y,t,s,t_s,WorldVowels
TU152,participant3_tur3.wav,TU152.wav,3.56,3.86,TU-participant3,TU,i,t,s,t_s,WorldVowels
TU249,participant1_tur2.wav,TU249.wav,15.11,15.32,TU-participant1,TU,œ,p,t,p_t,WorldVowels
TU151,participant3_tur3.wav,TU151.wav,2.19,2.48,TU-participant3,TU,i,f,z,f_z,WorldVowels
TU130,participant4_tur5.wav,TU130.wav,23.04563,23.27498,TU-participant4,TU,ɯ,ʃ,t,ʃ_t,WorldVowels
TU175,participant3_tur1.wav,TU175.wav,17.72,17.9,TU-participant3,TU,ɯ,p,t,p_t,WorldVowels
TU261,participant1_tur5.wav,TU261.wav,21.4,21.93,TU-participant1,TU,y,d,ʃ,d_ʃ,WorldVowels
TU99,participant4_tur2.wav,TU99.wav,5.06,5.48,TU-participant4,TU,u,f,z,f_z,WorldVowels
TU137,participant3_tur6.wav,TU137.wav,7.62,7.92262,TU-participant3,TU,œ,p,t,p_t,WorldVowels
TU174,participant3_tur1.wav,TU174.wav,16.27,16.59,TU-participant3,TU,ɯ,ʃ,t,ʃ_t,WorldVowels
TU9,participant2_tur4.wav,TU9.wav,17.0006,17.38,TU-participant2,TU,ɯ,f,z,f_z,WorldVowels
TU122,participant4_tur5.wav,TU122.wav,6.97438,7.28000,TU-participant4,TU,i,ʃ,t,ʃ_t,WorldVowels
TU46,participant2_tur2.wav,TU46.wav,11.97144,12.27352,TU-participant2,TU,i,ʃ,t,ʃ_t,WorldVowels
TU21,participant2_tur1.wav,TU21.wav,15.56,15.85,TU-participant2,TU,ɯ,f,z,f_z,WorldVowels
TU13,participant2_tur1.wav,TU13.wav,2.43815,2.81000,TU-participant2,TU,i,f,z,f_z,WorldVowels
TU102,participant4_tur2.wav,TU102.wav,11.24,11.47,TU-participant4,TU,œ,p,t,p_t,WorldVowels
TU213,participant1_tur4.wav,TU213.wav,10.96,11.4,TU-participant1,TU,u,ʃ,t,ʃ_t,WorldVowels
TU230,participant1_tur3.wav,TU230.wav,30.89553,31.41778,TU-participant1,TU,ɯ,p,t,p_t,WorldVowels
TU63,participant2_tur5.wav,TU63.wav,13.43818,13.82,TU-participant2,TU,œ,d,ʃ,d_ʃ,WorldVowels
TU145,participant3_tur2.wav,TU145.wav,6.48896,6.8,TU-participant3,TU,u,ʃ,t,ʃ_t,WorldVowels
TU1,participant2_tur4.wav,TU1.wav,2.64854,2.99,TU-participant2,TU,i,f,z,f_z,WorldVowels
TU98,participant4_tur2.wav,TU98.wav,2.99547,3.29000,TU-participant4,TU,u,g,g,g_g,WorldVowels
TU124,participant4_tur5.wav,TU124.wav,10.97,11.31,TU-participant4,TU,y,t,s,t_s,WorldVowels
TU41,participant2_tur2.wav,TU41.wav,2.53602,2.86,TU-participant2,TU,œ,ʃ,v,ʃ_v,WorldVowels
TU105,participant4_tur2.wav,TU105.wav,17.20761,17.57000,TU-participant4,TU,œ,t,s,t_s,WorldVowels
TU202,participant1_tur6.wav,TU202.wav,10.78,11.14,TU-participant1,TU,u,f,z,f_z,WorldVowels
TU20,participant2_tur1.wav,TU20.wav,13.74,14.1,TU-participant2,TU,y,d,ʃ,d_ʃ,WorldVowels
TU257,participant1_tur5.wav,TU257.wav,11.26,11.78,TU-participant1,TU,y,f,z,f_z,WorldVowels
TU204,participant1_tur6.wav,TU204.wav,15.07,15.46,TU-participant1,TU,u,ʃ,t,ʃ_t,WorldVowels
TU23,participant2_tur1.wav,TU23.wav,19.00077,19.29919,TU-participant2,TU,ɯ,ʃ,t,ʃ_t,WorldVowels
TU232,participant1_tur1.wav,TU232.wav,3.64,4.11,TU-participant1,TU,i,f,z,f_z,WorldVowels
TU22,participant2_tur1.wav,TU22.wav,17.26,17.63,TU-participant2,TU,ɯ,t,s,t_s,WorldVowels
TU40,participant2_tur2.wav,TU40.wav,0.7,1.11,TU-participant2,TU,œ,d,ʃ,d_ʃ,WorldVowels
TU16,participant2_tur1.wav,TU16.wav,7.13,7.45,TU-participant2,TU,y,f,z,f_z,WorldVowels
TU159,participant3_tur3.wav,TU159.wav,14.26,14.55,TU-participant3,TU,ɯ,f,z,f_z,WorldVowels
TU225,participant1_tur3.wav,TU225.wav,19.34,19.54,TU-participant1,TU,y,p,t,p_t,WorldVowels
TU107,participant4_tur1.wav,TU107.wav,3.22531,3.56000,TU-participant4,TU,i,f,z,f_z,WorldVowels
TU135,participant3_tur6.wav,TU135.wav,4.58,4.93,TU-participant3,TU,u,t,s,t_s,WorldVowels
TU250,participant1_tur2.wav,TU250.wav,17.48,18.15,TU-participant1,TU,œ,d,ʃ,d_ʃ,WorldVowels
TU143,participant3_tur2.wav,TU143.wav,3.34,3.72,TU-participant3,TU,u,f,z,f_z,WorldVowels
TU252,participant1_tur2.wav,TU252.wav,23.49,23.9,TU-participant1,TU,œ,t,s,t_s,WorldVowels
TU91,participant4_tur4.wav,TU91.wav,7.0,7.31,TU-participant4,TU,u,t,s,t_s,WorldVowels
TU88,participant4_tur4.wav,TU88.wav,0.91337,1.22,TU-participant4,TU,ɯ,d,ʃ,d_ʃ,WorldVowels
TU158,participant3_tur3.wav,TU158.wav,12.76765,13.04,TU-participant3,TU,y,d,ʃ,d_ʃ,WorldVowels
TU248,participant1_tur2.wav,TU248.wav,12.43,12.76,TU-participant1,TU,u,ʃ,t,ʃ_t,WorldVowels
TU7,participant2_tur4.wav,TU7.wav,13.37,13.58,TU-participant2,TU,y,p,t,p_t,WorldVowels
TU27,participant2_tur1.wav,TU27.wav,25.64,26.04,TU-participant2,TU,u,f,z,f_z,WorldVowels
TU256,participant1_tur5.wav,TU256.wav,8.91,9.44,TU-participant1,TU,i,ʃ,t,ʃ_t,WorldVowels
TU61,participant2_tur5.wav,TU61.wav,9.7755,10.08945,TU-participant2,TU,u,ʃ,t,ʃ_t,WorldVowels
TU66,participant4_tur6.wav,TU66.wav,0.75746,1.06,TU-participant4,TU,ɯ,d,ʃ,d_ʃ,WorldVowels
TU197,participant3_tur4.wav,TU197.wav,12.55,12.87,TU-participant3,TU,œ,t,s,t_s,WorldVowels
TU106,participant4_tur1.wav,TU106.wav,1.11661,1.44000,TU-participant4,TU,i,b,f,b_f,WorldVowels
TU222,participant1_tur3.wav,TU222.wav,11.27,11.72,TU-participant1,TU,y,f,z,f_z,WorldVowels
TU243,participant1_tur2.wav,TU243.wav,1.11,1.31,TU-participant1,TU,ɯ,p,t,p_t,WorldVowels
TU0,participant2_tur4.wav,TU0.wav,0.91175,1.20795,TU-participant2,TU,i,b,f,b_f,WorldVowels
TU10,participant2_tur4.wav,TU10.wav,18.72,19.16,TU-participant2,TU,ɯ,t,s,t_s,WorldVowels
TU14,participant2_tur1.wav,TU14.wav,4.0,4.39,TU-participant2,TU,i,t,s,t_s,WorldVowels
TU17,participant2_tur1.wav,TU17.wav,8.62,8.98,TU-participant2,TU,y,t,s,t_s,WorldVowels
TU19,participant2_tur1.wav,TU19.wav,12.15,12.39,TU-participant2,TU,y,p,t,p_t,WorldVowels
TU32,participant2_tur3.wav,TU32.wav,2.34,2.56,TU-participant2,TU,u,g,g,g_g,WorldVowels
TU38,participant2_tur3.wav,TU38.wav,13.04046,13.39,TU-participant2,TU,œ,ʃ,v,ʃ_v,WorldVowels
TU42,participant2_tur2.wav,TU42.wav,4.27,4.62,TU-participant2,TU,œ,p,s,p_s,WorldVowels
TU43,participant2_tur2.wav,TU43.wav,6.03655,6.33862,TU-participant2,TU,i,b,f,b_f,WorldVowels
TU47,participant2_tur2.wav,TU47.wav,13.77,14.06,TU-participant2,TU,y,f,z,f_z,WorldVowels
TU51,participant2_tur2.wav,TU51.wav,20.67,21.03,TU-participant2,TU,y,d,ʃ,d_ʃ,WorldVowels
TU54,participant2_tur2.wav,TU54.wav,25.84915,26.13346,TU-participant2,TU,ɯ,ʃ,t,ʃ_t,WorldVowels
TU58,participant2_tur5.wav,TU58.wav,4.36,4.57,TU-participant2,TU,u,g,g,g_g,WorldVowels
TU60,participant2_tur5.wav,TU60.wav,7.88,8.31,TU-participant2,TU,u,t,s,t_s,WorldVowels
TU62,participant2_tur5.wav,TU62.wav,11.64,11.91497,TU-participant2,TU,œ,p,t,p_t,WorldVowels
TU64,participant2_tur5.wav,TU64.wav,15.34509,15.67,TU-participant2,TU,œ,ʃ,v,ʃ_v,WorldVowels
TU67,participant4_tur6.wav,TU67.wav,2.71197,2.95,TU-participant4,TU,u,g,g,g_g,WorldVowels
TU73,participant4_tur6.wav,TU73.wav,15.34,15.71,TU-participant4,TU,œ,ʃ,v,ʃ_v,WorldVowels
TU75,participant4_tur3.wav,TU75.wav,0.82197,1.11,TU-participant4,TU,i,b,f,b_f,WorldVowels
TU85,participant4_tur3.wav,TU85.wav,20.97,21.3,TU-participant4,TU,ɯ,t,s,t_s,WorldVowels
TU87,participant4_tur3.wav,TU87.wav,24.92023,25.19573,TU-participant4,TU,ɯ,p,t,p_t,WorldVowels
